State,Type,County,Violent crime,Murder and non-negligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
CALIFORNIA,Non-Metro,Tuolumne,97,1,21,15,60,757,325,422,10,5
COLORADO,Metro,Adams,477,0,80,59,338,"2,450",598,"1,456",396,31
COLORADO,Metro,Arapahoe,204,2,19,31,152,"1,403",420,861,122,16
COLORADO,Metro,Boulder,56,1,9,1,45,549,197,322,30,11
COLORADO,Metro,Clear Creek,21,0,1,0,20,80,15,58,7,2
COLORADO,Metro,Douglas,269,0,181,20,68,"1,882",336,"1,445",101,8
COLORADO,Metro,Gilpin,12,0,0,0,12,23,6,15,2,0
COLORADO,Metro,Jefferson,183,1,31,21,130,"2,572",501,"1,929",142,17
COLORADO,Metro,Larimer,134,0,26,15,93,927,204,672,51,10
COLORADO,Metro,Mesa,163,0,25,15,123,"1,243",264,905,74,14
COLORADO,Metro,Park,20,0,2,0,18,129,48,67,14,3
COLORADO,Metro,Pueblo,31,3,0,7,21,"1,604",338,"1,199",67,2
COLORADO,Metro,Teller,9,0,1,1,7,81,40,37,4,8
COLORADO,Metro,Weld,120,0,13,6,101,834,237,516,81,9
COLORADO,Non-Metro,Alamosa,1,0,0,0,1,18,4,14,0,0
COLORADO,Non-Metro,Baca,0,0,0,0,0,3,1,2,0,0
COLORADO,Non-Metro,Bent,2,0,1,0,1,36,13,22,1,0
COLORADO,Non-Metro,Chaffee,11,1,4,0,6,67,11,54,2,0
COLORADO,Non-Metro,Cheyenne,0,0,0,0,0,3,0,3,0,0
COLORADO,Non-Metro,Crowley,4,0,0,0,4,0,0,0,0,0
COLORADO,Non-Metro,Delta,19,0,8,0,11,164,33,112,19,0
COLORADO,Non-Metro,Dolores,0,0,0,0,0,28,15,10,3,0
COLORADO,Non-Metro,Eagle,44,0,2,1,41,433,90,340,3,3
COLORADO,Non-Metro,Fremont,,0,0,0,,71,41,25,5,0
COLORADO,Non-Metro,Grand,12,0,0,0,12,130,32,95,3,0
COLORADO,Non-Metro,Gunnison,10,0,0,0,10,18,5,12,1,0
COLORADO,Non-Metro,Kit Carson,2,0,1,0,1,29,8,17,4,1
COLORADO,Non-Metro,Lake,2,1,0,0,1,20,7,12,1,1
COLORADO,Non-Metro,Las Animas,0,0,0,0,0,0,0,0,0,0
COLORADO,Non-Metro,Lincoln,2,0,0,0,2,2,0,1,1,0
COLORADO,Non-Metro,Logan,10,1,1,0,8,65,16,42,7,1
COLORADO,Non-Metro,Moffat,4,0,0,0,4,44,29,14,1,3
