State,Type,County,Violent crime,Property crime
INDIANA,Non-Metro,Fulton,16,94
INDIANA,Non-Metro,Grant,9,384
INDIANA,Non-Metro,Henry,6,566
INDIANA,Non-Metro,Huntington,9,131
INDIANA,Non-Metro,Jackson,18,412
INDIANA,Non-Metro,Jay,4,104
INDIANA,Non-Metro,Jennings,21,310
INDIANA,Non-Metro,Knox,0,0
INDIANA,Non-Metro,Kosciusko,34,710
INDIANA,Non-Metro,LaGrange,6,202
INDIANA,Non-Metro,Lawrence,13,305
INDIANA,Non-Metro,Marshall,,
INDIANA,Non-Metro,Martin,0,70
INDIANA,Non-Metro,Montgomery,24,447
INDIANA,Non-Metro,Noble,16,168
INDIANA,Non-Metro,Parke,0,140
INDIANA,Non-Metro,Pulaski,46,179
INDIANA,Non-Metro,Randolph,1,272
INDIANA,Non-Metro,Ripley,9,229
INDIANA,Non-Metro,Rush,2,268
INDIANA,Non-Metro,Scott,12,137
INDIANA,Non-Metro,Starke,30,442
INDIANA,Non-Metro,Steuben,19,467
INDIANA,Non-Metro,Wayne,0,166
IOWA,Metro,Black Hawk,34,157
IOWA,Metro,Bremer,12,43
IOWA,Metro,Dallas,18,136
IOWA,Metro,Dubuque,63,209
IOWA,Metro,Grundy,3,83
IOWA,Metro,Harrison,6,98
IOWA,Metro,Johnson,52,218
IOWA,Metro,Jones,0,88
IOWA,Metro,Linn,23,364
IOWA,Metro,Mills,30,206
IOWA,Metro,Polk,104,668
IOWA,Metro,Pottawattamie,39,437
IOWA,Metro,Scott,24,128
IOWA,Metro,Story,17,177
IOWA,Metro,Warren,46,246
IOWA,Metro,Washington,34,85
IOWA,Metro,Woodbury,19,130
IOWA,Non-Metro,Adair,5,54
IOWA,Non-Metro,Adams,26,57
IOWA,Non-Metro,Appanoose,13,82
IOWA,Non-Metro,Boone,8,12
IOWA,Non-Metro,Buchanan,5,122
IOWA,Non-Metro,Buena Vista,7,63
IOWA,Non-Metro,Butler,6,5
IOWA,Non-Metro,Calhoun,6,74
