County,State,Value
Benton County,Indiana,-6.00
Phillips County,Kansas,-6.00
Jasper County,Mississippi,-6.00
Hooker County,Nebraska,-6.00
Barnes County,North Dakota,-6.00
Beaver County,Pennsylvania,-6.00
Greene County,Illinois,-5.90
Wabash County,Indiana,-5.90
Adams County,Mississippi,-5.90
Mineral County,Nevada,-5.90
Buffalo County,South Dakota,-5.90
Kent County,Texas,-5.90
Lee County,Iowa,-5.80
West Carroll Parish,Louisiana,-5.80
Yellow Medicine County,Minnesota,-5.80
Grenada County,Mississippi,-5.80
Teton County,Montana,-5.80
Mora County,New Mexico,-5.80
Cambria County,Pennsylvania,-5.80
Webster County,West Virginia,-5.80
Pickens County,Alabama,-5.70
Edgar County,Illinois,-5.70
Garfield County,Montana,-5.70
Kearney County,Nebraska,-5.70
Keith County,Nebraska,-5.70
Phelps County,Nebraska,-5.70
Jefferson County,Ohio,-5.70
Turner County,South Dakota,-5.70
Refugio County,Texas,-5.70
Lucas County,Iowa,-5.60
Luce County,Michigan,-5.60
Watonwan County,Minnesota,-5.60
Dallas County,Alabama,-5.50
Valdez-Cordova Census Area,Alaska,-5.50
Pike County,Illinois,-5.50
Warren County,Illinois,-5.50
Humboldt County,Iowa,-5.50
Webster County,Iowa,-5.50
Red River Parish,Louisiana,-5.50
Alpena County,Michigan,-5.50
Garfield County,Washington,-5.50
Barbour County,Alabama,-5.40
Coosa County,Alabama,-5.40
Marion County,Illinois,-5.40
Labette County,Kansas,-5.40
Russell County,Kansas,-5.40
Pike County,Kentucky,-5.40
Gogebic County,Michigan,-5.40
Renville County,North Dakota,-5.40
McKean County,Pennsylvania,-5.40
Northampton County,Virginia,-5.40
Covington city,Virginia,-5.40
Brooke County,West Virginia,-5.40
Stark County,Illinois,-5.30
Iosco County,Michigan,-5.30
Montmorency County,Michigan,-5.30
Knox County,Missouri,-5.30
Dixon County,Nebraska,-5.30
Brunswick County,Virginia,-5.30
Monroe County,Alabama,-5.20
Walker County,Alabama,-5.20
Clay County,Georgia,-5.20
Iroquois County,Illinois,-5.20
Knox County,Illinois,-5.20
Marion County,Kansas,-5.20
Slope County,North Dakota,-5.20
Screven County,Georgia,-5.10
Clay County,Illinois,-5.10
Hancock County,Illinois,-5.10
Fayette County,Indiana,-5.10
Fayette County,Iowa,-5.10
East Feliciana Parish,Louisiana,-5.10
Menominee County,Michigan,-5.10
Monroe County,Missouri,-5.10
Stanton County,Nebraska,-5.10
Ramsey County,North Dakota,-5.10
Hamilton County,Ohio,-5.10
Jefferson County,Oklahoma,-5.10
Haywood County,Tennessee,-5.10
Carson County,Texas,-5.10
Cass County,Iowa,-5.00
Chickasaw County,Iowa,-5.00
Nemaha County,Kansas,-5.00
Jefferson Parish,Louisiana,-5.00
Sherman County,Nebraska,-5.00
Lamb County,Texas,-5.00
Menard County,Texas,-5.00
Portsmouth city,Virginia,-5.00
Mingo County,West Virginia,-5.00
Cerro Gordo County,Iowa,-4.90
Wayne County,Iowa,-4.90
St. Landry Parish,Louisiana,-4.90
Chippewa County,Minnesota,-4.90
Red Lake County,Minnesota,-4.90
Cape May County,New Jersey,-4.90
Greene County,Pennsylvania,-4.90
Cass County,Indiana,-4.80
Rush County,Indiana,-4.80
Des Moines County,Iowa,-4.80
Murray County,Minnesota,-4.80
Winston County,Mississippi,-4.80
Wibaux County,Montana,-4.80
Grant County,New Mexico,-4.80
Armstrong County,Pennsylvania,-4.80
Fall River County,South Dakota,-4.80
Sherman County,Texas,-4.80
Caribou County,Idaho,-4.70
Hamilton County,Iowa,-4.70
Harrison County,Iowa,-4.70
O'Brien County,Iowa,-4.70
Norton County,Kansas,-4.70
Powell County,Kentucky,-4.70
Catahoula Parish,Louisiana,-4.70
Dickinson County,Michigan,-4.70
Saginaw County,Michigan,-4.70
Schoolcraft County,Michigan,-4.70
Putnam County,Missouri,-4.70
Halifax County,North Carolina,-4.70
Warren County,Pennsylvania,-4.70
Patrick County,Virginia,-4.70
Russell County,Virginia,-4.70
White County,Illinois,-4.60
Grant County,Indiana,-4.60
Bell County,Kentucky,-4.60
Carlisle County,Kentucky,-4.60
Baltimore city,Maryland,-4.60
