County,State,Value
Logan County,Illinois,-878.00
Greene County,Illinois,-875.00
Smyth County,Virginia,-873.00
Warren County,Mississippi,-871.00
Rush County,Indiana,-869.00
Issaquena County,Mississippi,-868.00
Conecuh County,Alabama,-861.00
Winnebago County,Iowa,-857.00
Barnwell County,South Carolina,-857.00
Gallatin County,Illinois,-856.00
Republic County,Kansas,-855.00
Custer County,Nebraska,-854.00
Hardeman County,Tennessee,-852.00
Box Butte County,Nebraska,-850.00
Marshall County,Kansas,-848.00
Sandusky County,Ohio,-848.00
Cavalier County,North Dakota,-838.00
Appanoose County,Iowa,-834.00
Mackinac County,Michigan,-830.00
Thayer County,Nebraska,-827.00
Prairie County,Arkansas,-824.00
Plumas County,California,-817.00
Knox County,Indiana,-816.00
Kingman County,Kansas,-815.00
Lac qui Parle County,Minnesota,-808.00
Stutsman County,North Dakota,-808.00
Wood County,Wisconsin,-806.00
New Madrid County,Missouri,-804.00
Bullock County,Alabama,-800.00
Louisa County,Iowa,-796.00
Monroe County,Kentucky,-793.00
Allendale County,South Carolina,-792.00
Jefferson County,Nebraska,-786.00
Tripp County,South Dakota,-786.00
Screven County,Georgia,-781.00
Montgomery County,Kansas,-781.00
Emmons County,North Dakota,-781.00
Kiowa County,Oklahoma,-781.00
Oscoda County,Michigan,-778.00
Live Oak County,Texas,-778.00
Oneida County,Wisconsin,-778.00
Monona County,Iowa,-777.00
Alcona County,Michigan,-777.00
Bristol County,Rhode Island,-773.00
Antelope County,Nebraska,-767.00
Hamilton County,Iowa,-765.00
Cedar County,Nebraska,-763.00
Langlade County,Wisconsin,-763.00
Hancock County,Iowa,-759.00
Letcher County,Kentucky,-758.00
Redwood County,Minnesota,-756.00
Boone County,Nebraska,-754.00
Brooks County,Texas,-753.00
Sherman County,Kansas,-750.00
Abbeville County,South Carolina,-750.00
Ida County,Iowa,-748.00
Windsor County,Vermont,-748.00
Clay County,Illinois,-745.00
Atchison County,Missouri,-745.00
Perry County,Illinois,-744.00
Fillmore County,Nebraska,-744.00
Brown County,Kansas,-740.00
Harrison County,Iowa,-738.00
Cloud County,Kansas,-735.00
Kittson County,Minnesota,-733.00
San Miguel County,New Mexico,-733.00
Jefferson County,Pennsylvania,-732.00
Hutchinson County,South Dakota,-732.00
