County,State,Value
Bamberg County,South Carolina,78.40
Clarendon County,South Carolina,75.20
Fairfield County,South Carolina,80.60
Greenwood County,South Carolina,88.70
Horry County,South Carolina,60.30
Laurens County,South Carolina,83.10
Newberry County,South Carolina,82.10
Spartanburg County,South Carolina,89.10
Beadle County,South Dakota,87.60
Brule County,South Dakota,87.80
Codington County,South Dakota,92.20
Davison County,South Dakota,93.70
Dewey County,South Dakota,86.40
Faulk County,South Dakota,76.50
Hand County,South Dakota,82.30
Jackson County,South Dakota,83.50
Kingsbury County,South Dakota,81.70
McCook County,South Dakota,87.00
Miner County,South Dakota,78.90
Potter County,South Dakota,70.80
Spink County,South Dakota,83.10
Turner County,South Dakota,87.60
Walworth County,South Dakota,79.70
Benton County,Tennessee,78.70
Blount County,Tennessee,89.10
Cannon County,Tennessee,90.60
Clay County,Tennessee,78.40
Decatur County,Tennessee,71.70
Franklin County,Tennessee,85.60
Hamblen County,Tennessee,91.10
Hawkins County,Tennessee,86.90
Humphreys County,Tennessee,84.10
Knox County,Tennessee,90.90
Loudon County,Tennessee,91.30
Marshall County,Tennessee,90.30
Morgan County,Tennessee,86.20
Polk County,Tennessee,83.30
Scott County,Tennessee,87.50
Sumner County,Tennessee,92.40
Union County,Tennessee,82.50
Harper County,Oklahoma,80.00
Hughes County,Oklahoma,81.70
Kingfisher County,Oklahoma,89.40
Lincoln County,Oklahoma,87.10
McClain County,Oklahoma,92.10
Mayes County,Oklahoma,83.20
Oklahoma County,Oklahoma,89.90
Pontotoc County,Oklahoma,88.30
Pushmataha County,Oklahoma,78.70
Washington County,Oklahoma,89.70
Woodward County,Oklahoma,86.60
Deschutes County,Oregon,80.00
Jefferson County,Oregon,79.40
Lake County,Oregon,76.10
Polk County,Oregon,93.40
Wheeler County,Oregon,72.70
Armstrong County,Pennsylvania,88.30
Gonzales County,Texas,81.00
Gray County,Texas,83.10
Grimes County,Texas,81.50
Hall County,Texas,70.60
Hansford County,Texas,85.80
Hill County,Texas,82.10
Howard County,Texas,86.40
Hutchinson County,Texas,82.90
Jim Hogg County,Texas,77.90
Johnson County,Texas,92.00
Kent County,Texas,63.40
Kerr County,Texas,86.20
Knox County,Texas,73.70
La Salle County,Texas,70.30
Live Oak County,Texas,70.20
Lubbock County,Texas,91.90
McLennan County,Texas,91.30
Mason County,Texas,64.20
Midland County,Texas,93.50
Montgomery County,Texas,91.50
Navarro County,Texas,85.90
Nolan County,Texas,83.90
Ochiltree County,Texas,89.00
Oldham County,Texas,82.20
Parker County,Texas,90.20
Rains County,Texas,83.10
Randall County,Texas,93.00
Roberts County,Texas,81.80
Rockwall County,Texas,94.70
Runnels County,Texas,78.60
San Saba County,Texas,71.00
Somervell County,Texas,83.80
Stephens County,Texas,74.20
Stonewall County,Texas,69.20
Terry County,Texas,87.00
Titus County,Texas,89.70
Upshur County,Texas,89.80
Uvalde County,Texas,83.50
Ward County,Texas,85.10
Williamson County,Texas,93.80
Wise County,Texas,88.40
Zavala County,Texas,83.40
Davis County,Utah,95.90
White County,Tennessee,89.20
Wilson County,Tennessee,93.40
Archer County,Texas,86.10
Armstrong County,Texas,83.10
Bastrop County,Texas,88.10
Blanco County,Texas,77.90
Brooks County,Texas,81.60
Burnet County,Texas,79.10
Camp County,Texas,82.70
Castro County,Texas,86.70
Cochran County,Texas,81.80
Concho County,Texas,63.60
Coryell County,Texas,89.50
Crane County,Texas,90.10
Dawson County,Texas,84.00
DeWitt County,Texas,80.70
Dimmit County,Texas,78.60
Edwards County,Texas,52.20
Fayette County,Texas,72.70
Franklin County,Texas,72.10
Garza County,Texas,74.70
Montgomery County,Virginia,92.70
Nelson County,Virginia,64.40
Patrick County,Virginia,80.10
Powhatan County,Virginia,94.50
Pulaski County,Virginia,86.00
Russell County,Virginia,88.60
Warren County,Virginia,87.80
Wythe County,Virginia,88.60
Alexandria city,Virginia,94.10
Bedford city,Virginia,90.00
Buena Vista city,Virginia,88.70
Charlottesville city,Virginia,92.60
Harrisonburg city,Virginia,91.70
Hopewell city,Virginia,90.20
Martinsville city,Virginia,84.40
Richmond city,Virginia,88.60
Salem city,Virginia,92.70
Waynesboro city,Virginia,91.60
Cowlitz County,Washington,92.60
Franklin County,Washington,95.20
Lewis County,Washington,87.40
Mason County,Washington,73.30
Spokane County,Washington,92.90
Barbour County,West Virginia,83.40
Boone County,West Virginia,89.70
Calhoun County,West Virginia,82.50
Gilmer County,West Virginia,79.80
Jackson County,West Virginia,89.70
Marion County,West Virginia,89.90
Monongalia County,West Virginia,92.00
Nicholas County,West Virginia,83.70
Preston County,West Virginia,85.40
Summers County,West Virginia,72.60
Webster County,West Virginia,69.90
Adams County,Wisconsin,49.70
Bayfield County,Wisconsin,51.40
Clark County,Wisconsin,84.10
Door County,Wisconsin,52.40
Dunn County,Wisconsin,91.10
Fond du Lac County,Wisconsin,92.70
Green Lake County,Wisconsin,74.60
Iowa County,Wisconsin,89.10
Jackson County,Wisconsin,80.60
Langlade County,Wisconsin,69.50
Marquette County,Wisconsin,66.40
Monroe County,Wisconsin,90.50
Polk County,Wisconsin,74.20
Rusk County,Wisconsin,70.20
Trempealeau County,Wisconsin,91.30
Washington County,Wisconsin,94.40
Wood County,Wisconsin,92.70
Natrona County,Wyoming,90.60
Platte County,Wyoming,82.20
Sheridan County,Wyoming,88.70
Weston County,Wyoming,85.50
Arecibo Municipio,Puerto Rico,84.60
Morgan County,Utah,93.80
Piute County,Utah,64.10
Salt Lake County,Utah,94.10
Wasatch County,Utah,68.90
Caledonia County,Vermont,78.70
Orleans County,Vermont,70.00
Amelia County,Virginia,90.00
Bath County,Virginia,66.10
Buckingham County,Virginia,82.30
Clarke County,Virginia,88.40
Culpeper County,Virginia,91.90
Floyd County,Virginia,82.30
Goochland County,Virginia,92.80
King William County,Virginia,91.70
Lunenburg County,Virginia,83.50
Madison County,Virginia,85.70
Choctaw County,Alabama,80.70
Clarke County,Alabama,81.80
Cleburne County,Alabama,87.70
Coffee County,Alabama,88.90
Coosa County,Alabama,74.00
Dallas County,Alabama,84.40
Etowah County,Alabama,88.60
Franklin County,Alabama,87.60
Geneva County,Alabama,86.10
Henry County,Alabama,78.70
Jackson County,Alabama,86.80
Lee County,Alabama,89.20
Lowndes County,Alabama,84.70
Macon County,Alabama,82.80
Madison County,Alabama,92.00
Marion County,Alabama,85.80
Marshall County,Alabama,88.80
Montgomery County,Alabama,88.50
Perry County,Alabama,83.30
Pike County,Alabama,86.50
Randolph County,Alabama,76.50
Russell County,Alabama,86.30
Shelby County,Alabama,91.50
Tallapoosa County,Alabama,76.80
Walker County,Alabama,86.20
Wilcox County,Alabama,79.40
Aleutians West Census Area,Alaska,62.80
Bristol Bay Borough,Alaska,43.70
Dillingham Census Area,Alaska,64.40
Juneau City and Borough,Alaska,93.40
Ketchikan Gateway Borough,Alaska,86.00
Matanuska-Susitna Borough,Alaska,77.00
North Slope Borough,Alaska,81.20
Petersburg Census Area,Alaska,80.20
Sitka City and Borough,Alaska,86.40
Woodruff County,Arkansas,80.50
Alpine County,California,28.20
Butte County,California,91.40
Calaveras County,California,67.60
Barranquitas Municipio,Puerto Rico,89.40
Caguas Municipio,Puerto Rico,88.20
Carolina Municipio,Puerto Rico,84.20
Comerí_o Municipi,Puerto Rico,87.70
Florida Municipio,Puerto Rico,87.50
Guaynabo Municipio,Puerto Rico,89.00
Humacao Municipio,Puerto Rico,77.50
Las Marí_as Municipi,Puerto Rico,89.30
Maricao Municipio,Puerto Rico,83.50
Naranjito Municipio,Puerto Rico,90.10
Quebradillas Municipio,Puerto Rico,87.80
San Lorenzo Municipio,Puerto Rico,85.60
Toa Alta Municipio,Puerto Rico,90.80
Vega Baja Municipio,Puerto Rico,84.00
Bibb County,Alabama,88.60
Bullock County,Alabama,83.40
Calhoun County,Alabama,88.80
Mendocino County,California,86.70
Modoc County,California,78.30
Mono County,California,41.50
Nevada County,California,79.00
Orange County,California,94.60
Riverside County,California,85.70
San Benito County,California,94.00
San Diego County,California,93.30
San Francisco County,California,91.70
Santa Barbara County,California,93.00
Santa Cruz County,California,90.30
Siskiyou County,California,81.60
Solano County,California,92.80
Sutter County,California,92.80
Tehama County,California,88.10
Trinity County,California,70.10
