County,State,Value
Carroll County,Georgia,75.6
Charlton County,Georgia,68.6
Cherokee County,Georgia,86.6
Clayton County,Georgia,18.9
Coffee County,Georgia,64.7
Coweta County,Georgia,75.9
Crawford County,Georgia,74.6
Dawson County,Georgia,95.6
Dodge County,Georgia,66.8
Dougherty County,Georgia,29.6
Echols County,Georgia,74.9
Effingham County,Georgia,82.6
Elbert County,Georgia,65.9
Evans County,Georgia,58.8
Fannin County,Georgia,97.1
Floyd County,Georgia,76.9
Wrangell City and Borough,Alaska,72.6
Yukon-Koyukuk Census Area,Alaska,22.2
Graham County,Arizona,72.1
Indian River County,Florida,84.3
Jackson County,Florida,69.1
Jefferson County,Florida,60.4
Levy County,Florida,85.5
Madison County,Florida,57.6
Nassau County,Florida,89.8
Okaloosa County,Florida,81.1
Orange County,Florida,63.6
Osceola County,Florida,71
Palm Beach County,Florida,73.5
Crittenden County,Arkansas,46.1
Faulkner County,Arkansas,84.3
Franklin County,Arkansas,95
Grant County,Arkansas,94.9
Hempstead County,Arkansas,59.4
Hot Spring County,Arkansas,85.6
Jackson County,Arkansas,79.8
Lafayette County,Arkansas,60.7
Little River County,Arkansas,75.5
Madison County,Arkansas,93.6
Marion County,Arkansas,97
Nevada County,Arkansas,65.9
Ouachita County,Arkansas,57
Perry County,Arkansas,95.2
Phillips County,Arkansas,35
Polk County,Arkansas,92.7
Pope County,Arkansas,89.5
Aleutians East Borough,Alaska,21
Saline County,Arkansas,90.5
Scott County,Arkansas,88
Sevier County,Arkansas,70
Stone County,Arkansas,96.8
Wilkes County,Georgia,53
Hawaii County,Hawaii,33.7
Ada County,Idaho,90.3
Adams County,Idaho,96.1
Bear Lake County,Idaho,96.3
Benewah County,Idaho,86.6
Bingham County,Idaho,80.6
Blaine County,Idaho,84.9
Bonneville County,Idaho,90.6
Butte County,Idaho,95.5
Cassia County,Idaho,81.8
Clearwater County,Idaho,93.9
Franklin County,Idaho,94.4
Greenlee County,Arizona,77.2
Mohave County,Arizona,86.9
Pinal County,Arizona,72.4
Yuma County,Arizona,70.4
Ashley County,Arkansas,69.3
Calhoun County,Arkansas,74.5
Carroll County,Arkansas,89.6
Clay County,Arkansas,97.5
Crawford County,Arkansas,89.1
Boone County,Illinois,84.4
Bureau County,Illinois,94.2
Calhoun County,Illinois,98.9
Clark County,Illinois,98.1
Crawford County,Illinois,92.8
DeKalb County,Illinois,85.1
Douglas County,Illinois,95.7
DuPage County,Illinois,77.9
Edwards County,Illinois,98
Fayette County,Illinois,93.7
Ford County,Illinois,97.1
Gallatin County,Illinois,97.9
Jackson County,Illinois,77.8
Jefferson County,Illinois,88.4
Jersey County,Illinois,97.6
Jo Daviess County,Illinois,97.2
Kendall County,Illinois,83.6
LaSalle County,Illinois,93.2
Lawrence County,Illinois,87.3
Logan County,Illinois,89.1
McDonough County,Illinois,90.4
McHenry County,Illinois,90.1
Macoupin County,Illinois,97.6
Mason County,Illinois,98.1
Massac County,Illinois,91
Monroe County,Illinois,98
Ogle County,Illinois,93.2
Piatt County,Illinois,98
Pulaski County,Illinois,64.4
Richland County,Illinois,97.3
Rock Island County,Illinois,81.6
Saline County,Illinois,93
Sangamon County,Illinois,83.6
Stephenson County,Illinois,86.5
Vermilion County,Illinois,82.5
Washington County,Illinois,97.7
Whiteside County,Illinois,92.2
Will County,Illinois,76
Adams County,Indiana,97
Blackford County,Indiana,97.7
Boone County,Indiana,95.3
Carroll County,Indiana,96.8
Clay County,Indiana,97.8
Crawford County,Indiana,97.4
Decatur County,Indiana,97.3
Fremont County,Idaho,89.5
Gooding County,Idaho,80.7
Jerome County,Idaho,80
