County,State,Value
Vance County,North Carolina,0.3
Wake County,North Carolina,0.5
Barnes County,North Dakota,0.7
Billings County,North Dakota,0.4
Cavalier County,North Dakota,0.9
Foster County,North Dakota,0.6
Grand Forks County,North Dakota,2.5
LaMoure County,North Dakota,0.4
Mountrail County,North Dakota,30.6
Ransom County,North Dakota,0.4
Rolette County,North Dakota,77.2
Steele County,North Dakota,1.2
Towner County,North Dakota,2.2
Allen County,Ohio,0.2
Brown County,Ohio,0.2
Clinton County,Ohio,0.2
Defiance County,Ohio,0.3
Fayette County,Ohio,0.2
Geauga County,Ohio,0.1
Guernsey County,Ohio,0.2
Hancock County,Ohio,0.2
Knox County,Ohio,0.2
Logan County,Ohio,0.3
Madison County,Ohio,0.2
Miami County,Ohio,0.2
Muskingum County,Ohio,0.2
Pike County,Ohio,0.5
Putnam County,Ohio,0.2
Seneca County,Ohio,0.2
Tuscarawas County,Ohio,0.3
Wayne County,Ohio,0.2
Wood County,Ohio,0.2
Beckham County,Oklahoma,2.8
Carter County,Oklahoma,8.9
Coal County,Oklahoma,16.7
Custer County,Oklahoma,6.3
Garfield County,Oklahoma,2.3
Greer County,Oklahoma,2.7
Eddy County,New Mexico,1.5
Guadalupe County,New Mexico,1.9
Lincoln County,New Mexico,2.4
Socorro County,New Mexico,11.7
Allegany County,New York,0.2
Chenango County,New York,0.3
Genesee County,New York,1.1
Herkimer County,New York,0.2
Lewis County,New York,0.2
Oneida County,New York,0.3
Otsego County,New York,0.2
Saratoga County,New York,0.2
Steuben County,New York,0.2
Warren County,New York,0.2
Yates County,New York,0.1
Blair County,Pennsylvania,0.1
Bradford County,Pennsylvania,0.2
Cambria County,Pennsylvania,0.1
Clarion County,Pennsylvania,0.1
Elk County,Pennsylvania,0.1
Indiana County,Pennsylvania,0.1
Lackawanna County,Pennsylvania,0.2
Mifflin County,Pennsylvania,0.1
Montour County,Pennsylvania,0.1
Potter County,Pennsylvania,0.3
Sullivan County,Pennsylvania,0.4
Warren County,Pennsylvania,0.2
Allendale County,South Carolina,0.2
Bamberg County,South Carolina,0.3
Clarendon County,South Carolina,0.2
Fairfield County,South Carolina,0.2
Greenwood County,South Carolina,0.3
Horry County,South Carolina,0.5
Laurens County,South Carolina,0.2
Newberry County,South Carolina,0.3
Spartanburg County,South Carolina,0.3
Beadle County,South Dakota,1.1
Brule County,South Dakota,8.5
Codington County,South Dakota,2
Davison County,South Dakota,2.5
Dewey County,South Dakota,74.9
Faulk County,South Dakota,0.1
Hand County,South Dakota,0.2
Jackson County,South Dakota,52
Kingsbury County,South Dakota,0.5
McCook County,South Dakota,0.4
Miner County,South Dakota,0.2
Potter County,South Dakota,0.9
Spink County,South Dakota,1.2
Turner County,South Dakota,0.8
Walworth County,South Dakota,14.3
Benton County,Tennessee,0.4
Blount County,Tennessee,0.3
Cannon County,Tennessee,0.2
Clay County,Tennessee,0.3
Decatur County,Tennessee,0.2
Franklin County,Tennessee,0.4
Hamblen County,Tennessee,0.3
Hawkins County,Tennessee,0.2
Humphreys County,Tennessee,0.4
Knox County,Tennessee,0.3
Loudon County,Tennessee,0.3
Marshall County,Tennessee,0.4
Morgan County,Tennessee,0.3
Polk County,Tennessee,0.4
Scott County,Tennessee,0.3
Sumner County,Tennessee,0.3
Union County,Tennessee,0.3
Harper County,Oklahoma,0.8
Hughes County,Oklahoma,18.2
Kingfisher County,Oklahoma,3.1
Lincoln County,Oklahoma,6.5
McClain County,Oklahoma,6.4
Mayes County,Oklahoma,21.4
Oklahoma County,Oklahoma,3.5
Pontotoc County,Oklahoma,17.4
Pushmataha County,Oklahoma,17.6
Washington County,Oklahoma,10.3
Woodward County,Oklahoma,2.8
Deschutes County,Oregon,0.9
Jefferson County,Oregon,16.9
Lake County,Oregon,2.1
Polk County,Oregon,2.1
Wheeler County,Oregon,1.2
Armstrong County,Pennsylvania,0.1
Gonzales County,Texas,1
Gray County,Texas,0.9
Grimes County,Texas,0.5
Hall County,Texas,0.8
Hansford County,Texas,0.9
Hill County,Texas,0.5
Howard County,Texas,0.9
Hutchinson County,Texas,1.6
Jim Hogg County,Texas,0.4
Johnson County,Texas,0.7
Kent County,Texas,0.9
Kerr County,Texas,0.7
