County,State,Value
Spartanburg County,South Carolina,20.6
Beadle County,South Dakota,0.8
Brule County,South Dakota,0.2
Codington County,South Dakota,0.3
Davison County,South Dakota,0.4
Dewey County,South Dakota,0.1
Faulk County,South Dakota,0.1
Hand County,South Dakota,0.1
Jackson County,South Dakota,0.2
Kingsbury County,South Dakota,0.1
McCook County,South Dakota,0.1
Miner County,South Dakota,0.1
Potter County,South Dakota,0.1
Spink County,South Dakota,0.3
Turner County,South Dakota,0.2
Walworth County,South Dakota,0.1
Benton County,Tennessee,1.9
Blount County,Tennessee,2.7
Cannon County,Tennessee,1.2
Clay County,Tennessee,1.3
Decatur County,Tennessee,2.9
Franklin County,Tennessee,5.1
Hamblen County,Tennessee,4
Hawkins County,Tennessee,1.3
Humphreys County,Tennessee,2.5
Knox County,Tennessee,8.8
Loudon County,Tennessee,1.1
Marshall County,Tennessee,6.5
Morgan County,Tennessee,3.7
Polk County,Tennessee,0.3
Scott County,Tennessee,0.1
Sumner County,Tennessee,6.4
Union County,Tennessee,0.1
Harper County,Oklahoma,0.1
Hughes County,Oklahoma,5.3
Kingfisher County,Oklahoma,1.1
Lincoln County,Oklahoma,1.8
McClain County,Oklahoma,0.7
Mayes County,Oklahoma,0.4
Oklahoma County,Oklahoma,15.4
Pontotoc County,Oklahoma,2.4
Pushmataha County,Oklahoma,0.7
Washington County,Oklahoma,2.4
Woodward County,Oklahoma,1.6
Deschutes County,Oregon,0.4
Jefferson County,Oregon,0.6
Lake County,Oregon,0.5
Polk County,Oregon,0.6
Wheeler County,Oregon,0
Armstrong County,Pennsylvania,0.8
Gonzales County,Texas,7.4
Gray County,Texas,4.9
Grimes County,Texas,16.5
Hall County,Texas,7.2
Hansford County,Texas,0.6
Hill County,Texas,6.3
Howard County,Texas,6.2
Hutchinson County,Texas,2.5
Jim Hogg County,Texas,0.4
Johnson County,Texas,2.6
Kent County,Texas,1
Kerr County,Texas,1.8
Knox County,Texas,5.8
La Salle County,Texas,0.5
Live Oak County,Texas,4.4
Lubbock County,Texas,7.5
McLennan County,Texas,14.8
Mason County,Texas,0.4
Midland County,Texas,6.6
Montgomery County,Texas,4.3
Navarro County,Texas,13.8
Nolan County,Texas,4.7
Ochiltree County,Texas,0.4
Oldham County,Texas,3
Parker County,Texas,1.6
Rains County,Texas,2.3
Randall County,Texas,2.4
Roberts County,Texas,0.1
Rockwall County,Texas,5.8
Runnels County,Texas,1.8
San Saba County,Texas,3.3
Somervell County,Texas,0.7
Stephens County,Texas,2.1
Stonewall County,Texas,2.6
Terry County,Texas,4.8
Titus County,Texas,9.6
Upshur County,Texas,8.7
Uvalde County,Texas,0.6
Ward County,Texas,4.9
Williamson County,Texas,6.2
Wise County,Texas,1.1
Zavala County,Texas,0.8
Davis County,Utah,1.2
White County,Tennessee,1.8
Wilson County,Tennessee,6.4
Archer County,Texas,0.4
Armstrong County,Texas,0.6
Bastrop County,Texas,7.8
Blanco County,Texas,0.7
Brooks County,Texas,0.5
Burnet County,Texas,1.8
Camp County,Texas,17.4
Castro County,Texas,2
Cochran County,Texas,4
Concho County,Texas,1.9
Coryell County,Texas,15.8
Crane County,Texas,2.9
Dawson County,Texas,6.5
DeWitt County,Texas,9.3
Dimmit County,Texas,1
Edwards County,Texas,0.5
Fayette County,Texas,6.6
Franklin County,Texas,3.9
Garza County,Texas,6.5
Montgomery County,Virginia,3.9
Nelson County,Virginia,13.1
Patrick County,Virginia,5.9
Powhatan County,Virginia,13.6
Pulaski County,Virginia,5
Russell County,Virginia,0.8
Warren County,Virginia,4.6
Wythe County,Virginia,2.8
Alexandria city,Virginia,21.8
Bedford city,Virginia,20.2
Buena Vista city,Virginia,5.2
Charlottesville city,Virginia,19.4
Harrisonburg city,Virginia,6.4
Hopewell city,Virginia,37
Martinsville city,Virginia,45
Richmond city,Virginia,50.6
Salem city,Virginia,7.1
Waynesboro city,Virginia,10.6
Cowlitz County,Washington,0.6
Franklin County,Washington,1.9
Lewis County,Washington,0.5
Mason County,Washington,1.1
Spokane County,Washington,1.7
Barbour County,West Virginia,0.7
Boone County,West Virginia,0.5
Calhoun County,West Virginia,0.2
Gilmer County,West Virginia,12.3
Jackson County,West Virginia,0.3
Marion County,West Virginia,3.3
Monongalia County,West Virginia,3.6
Nicholas County,West Virginia,0.2
Preston County,West Virginia,1.1
Summers County,West Virginia,4.8
Webster County,West Virginia,0.2
Adams County,Wisconsin,3
Bayfield County,Wisconsin,0.3
Clark County,Wisconsin,0.2
Door County,Wisconsin,0.5
Dunn County,Wisconsin,0.5
Fond du Lac County,Wisconsin,1.3
Green Lake County,Wisconsin,0.5
Iowa County,Wisconsin,0.4
Jackson County,Wisconsin,2
Langlade County,Wisconsin,0.4
Marquette County,Wisconsin,0.5
Monroe County,Wisconsin,1.1
Polk County,Wisconsin,0.2
Rusk County,Wisconsin,0.4
Trempealeau County,Wisconsin,0.2
Washington County,Wisconsin,0.9
Wood County,Wisconsin,0.5
Natrona County,Wyoming,0.9
Platte County,Wyoming,0.3
Sheridan County,Wyoming,0.4
Weston County,Wyoming,0.3
Arecibo Municipio,Puerto Rico,6.1
Morgan County,Utah,0.2
Piute County,Utah,0.1
Salt Lake County,Utah,1.6
Wasatch County,Utah,0.3
Caledonia County,Vermont,0.5
Orleans County,Vermont,0.6
Amelia County,Virginia,23.1
Bath County,Virginia,4.7
Buckingham County,Virginia,35.1
Clarke County,Virginia,5.3
Culpeper County,Virginia,15.8
Floyd County,Virginia,1.8
Goochland County,Virginia,19.2
King William County,Virginia,17.7
Lunenburg County,Virginia,34.7
Madison County,Virginia,9.8
Choctaw County,Alabama,43.4
Clarke County,Alabama,43.9
Cleburne County,Alabama,3.3
Coffee County,Alabama,16.7
Coosa County,Alabama,31
Dallas County,Alabama,69.4
Etowah County,Alabama,15.1
Franklin County,Alabama,3.9
Geneva County,Alabama,9.5
Henry County,Alabama,28.6
Jackson County,Alabama,3.3
Lee County,Alabama,22.7
Lowndes County,Alabama,73.5
Macon County,Alabama,82.6
Madison County,Alabama,24
Marion County,Alabama,3.8
Marshall County,Alabama,1.6
Montgomery County,Alabama,54.7
Perry County,Alabama,68.7
Pike County,Alabama,36.6
Randolph County,Alabama,20.1
Russell County,Alabama,41.8
Shelby County,Alabama,10.6
Tallapoosa County,Alabama,26.6
Walker County,Alabama,5.9
Wilcox County,Alabama,72.5
Aleutians West Census Area,Alaska,6
Bristol Bay Borough,Alaska,0
Dillingham Census Area,Alaska,0.2
Juneau City and Borough,Alaska,0.9
Ketchikan Gateway Borough,Alaska,0.6
Matanuska-Susitna Borough,Alaska,1
North Slope Borough,Alaska,1
Petersburg Census Area,Alaska,0.4
Sitka City and Borough,Alaska,0.5
Woodruff County,Arkansas,27.5
Alpine County,California,0
Butte County,California,1.6
Calaveras County,California,0.8
Barranquitas Municipio,Puerto Rico,5.4
Caguas Municipio,Puerto Rico,11
Carolina Municipio,Puerto Rico,22.8
ComerÃ_o Municipi,Puerto Rico,8.6
Florida Municipio,Puerto Rico,4.6
Guaynabo Municipio,Puerto Rico,9.8
Humacao Municipio,Puerto Rico,18.5
Las MarÃ_as Municipi,Puerto Rico,5.3
Maricao Municipio,Puerto Rico,4.8
Naranjito Municipio,Puerto Rico,6
Quebradillas Municipio,Puerto Rico,3.7
San Lorenzo Municipio,Puerto Rico,9.9
Toa Alta Municipio,Puerto Rico,9.6
Vega Baja Municipio,Puerto Rico,11.5
Bibb County,Alabama,22
Bullock County,Alabama,70.2
Calhoun County,Alabama,20.6
Mendocino County,California,0.7
Modoc County,California,0.8
Mono County,California,0.3
Nevada County,California,0.4
Orange County,California,1.7
Riverside County,California,6.4
San Benito County,California,0.9
San Diego County,California,5.1
San Francisco County,California,6.1
Santa Barbara County,California,2
Santa Cruz County,California,1.1
Siskiyou County,California,1.3
Solano County,California,14.7
Sutter County,California,2
Tehama County,California,0.6
Trinity County,California,0.4
Tuolumne County,California,2.1
Yolo County,California,2.6
Adams County,Colorado,3.1
Archuleta County,Colorado,0.3
Baca County,Colorado,0.6
Chaffee County,Colorado,1.5
Conejos County,Colorado,0.3
Delta County,Colorado,0.5
Dolores County,Colorado,0.2
Elbert County,Colorado,0.7
Fremont County,Colorado,3.9
Kiowa County,Colorado,0.3
Contra Costa County,California,9.3
Del Norte County,California,3.5
El Dorado County,California,0.8
Imperial County,California,3.3
Kern County,California,5.8
Kings County,California,7.2
Madera County,California,3.7
Sabine County,Texas,7.2
Middlesex County,Connecticut,4.7
New London County,Connecticut,5.8
Tolland County,Connecticut,3.3
Sussex County,Delaware,12.7
District of Columbia,District of Columbia,50.7
Baker County,Florida,13.6
Brevard County,Florida,10.1
Broward County,Florida,26.7
Citrus County,Florida,2.8
Collier County,Florida,6.6
Duval County,Florida,29.5
Gilchrist County,Florida,5.3
Glades County,Florida,12.3
Gulf County,Florida,18.7
Hardee County,Florida,7
Hendry County,Florida,13.4
Hernando County,Florida,5.1
Lake County,Colorado,0.4
La Plata County,Colorado,0.4
Larimer County,Colorado,0.8
Lincoln County,Colorado,5.3
Mesa County,Colorado,0.6
Moffat County,Colorado,0.3
Morgan County,Colorado,2.9
Ouray County,Colorado,0.2
Pitkin County,Colorado,0.5
Rio Blanco County,Colorado,0.8
Saguache County,Colorado,0.2
San Miguel County,Colorado,0.4
Teller County,Colorado,0.5
Washington County,Colorado,0.6
Polk County,Florida,14.8
St. Johns County,Florida,5.6
St. Lucie County,Florida,19.1
Santa Rosa County,Florida,5.4
Sarasota County,Florida,4.7
Sumter County,Florida,9.7
Union County,Florida,22.2
Volusia County,Florida,10.5
Washington County,Florida,15
Appling County,Georgia,18.6
Bacon County,Georgia,15.4
Banks County,Georgia,2.3
Berrien County,Georgia,10.7
Brantley County,Georgia,2.9
Bulloch County,Georgia,27.6
Burke County,Georgia,49.5
Calhoun County,Georgia,61.3
Carroll County,Georgia,18.2
Charlton County,Georgia,28.5
Cherokee County,Georgia,5.7
Clayton County,Georgia,66.1
Coffee County,Georgia,26.6
Coweta County,Georgia,17.3
Crawford County,Georgia,22.3
Dawson County,Georgia,0.5
Dodge County,Georgia,29.8
Dougherty County,Georgia,67.1
Echols County,Georgia,4.2
Effingham County,Georgia,13.5
Elbert County,Georgia,29.5
Evans County,Georgia,29.1
Fannin County,Georgia,0.4
Floyd County,Georgia,14.2
Wrangell City and Borough,Alaska,0.2
Yukon-Koyukuk Census Area,Alaska,0.2
Graham County,Arizona,1.8
Indian River County,Florida,9
Jackson County,Florida,26.6
Jefferson County,Florida,36.2
Levy County,Florida,9.4
Madison County,Florida,38.8
Nassau County,Florida,6.4
Okaloosa County,Florida,9.3
Orange County,Florida,20.8
Osceola County,Florida,11.3
Palm Beach County,Florida,17.3
Crittenden County,Arkansas,51.2
Faulkner County,Arkansas,10.2
Franklin County,Arkansas,0.7
Grant County,Arkansas,2.2
Hempstead County,Arkansas,29.4
Hot Spring County,Arkansas,10.8
Jackson County,Arkansas,16.7
Lafayette County,Arkansas,37.2
Little River County,Arkansas,19.1
Madison County,Arkansas,0.2
Marion County,Arkansas,0.2
Nevada County,Arkansas,30.7
Ouachita County,Arkansas,40.1
Perry County,Arkansas,1.9
Phillips County,Arkansas,63.1
Polk County,Arkansas,0.3
Pope County,Arkansas,2.9
Aleutians East Borough,Alaska,7
Saline County,Arkansas,4.7
Scott County,Arkansas,0.5
Sevier County,Arkansas,4.3
Stone County,Arkansas,0.1
Wilkes County,Georgia,42.8
Hawaii County,Hawaii,0.6
Ada County,Idaho,1.1
Adams County,Idaho,0.1
Bear Lake County,Idaho,0.1
Benewah County,Idaho,0.3
Bingham County,Idaho,0.2
Blaine County,Idaho,0.2
Bonneville County,Idaho,0.6
Butte County,Idaho,0.2
Cassia County,Idaho,0.3
Clearwater County,Idaho,0.2
Franklin County,Idaho,0.2
Greenlee County,Arizona,1.1
Mohave County,Arizona,0.9
Pinal County,Arizona,4.6
Yuma County,Arizona,2
Ashley County,Arkansas,25.8
Calhoun County,Arkansas,22.2
Carroll County,Arkansas,0.4
Clay County,Arkansas,0.3
Crawford County,Arkansas,1.2
Boone County,Illinois,2
Bureau County,Illinois,0.6
Calhoun County,Illinois,0.1
Clark County,Illinois,0.3
Crawford County,Illinois,4.7
DeKalb County,Illinois,6.4
Douglas County,Illinois,0.3
DuPage County,Illinois,4.6
Edwards County,Illinois,0.4
Fayette County,Illinois,4.4
Ford County,Illinois,0.6
Gallatin County,Illinois,0.2
Jackson County,Illinois,14.3
Jefferson County,Illinois,8.4
Jersey County,Illinois,0.4
Jo Daviess County,Illinois,0.5
Kendall County,Illinois,5.7
LaSalle County,Illinois,1.9
Lawrence County,Illinois,9.6
Logan County,Illinois,7.5
McDonough County,Illinois,5
McHenry County,Illinois,1.1
Macoupin County,Illinois,0.8
Mason County,Illinois,0.4
Massac County,Illinois,5.9
Monroe County,Illinois,0.2
Ogle County,Illinois,0.9
Piatt County,Illinois,0.3
Pulaski County,Illinois,32.4
Richland County,Illinois,0.5
Rock Island County,Illinois,9
Saline County,Illinois,4
Sangamon County,Illinois,11.8
Stephenson County,Illinois,9
Vermilion County,Illinois,13
Washington County,Illinois,0.7
Whiteside County,Illinois,1.3
Will County,Illinois,11.2
Adams County,Indiana,0.3
Blackford County,Indiana,0.4
Boone County,Indiana,0.9
Carroll County,Indiana,0.2
Clay County,Indiana,0.3
Crawford County,Indiana,0.2
Decatur County,Indiana,0.3
