County,State,Asian,Black,Hisp. Or Lat.,Native American,Other,White
Livingston Parish,Louisiana,0.5,5.1,3,0.4,1,91.9
Pointe Coupee Parish,Louisiana,0.2,36.3,2.2,0.1,0.9,61.4
St. Charles Parish,Louisiana,0.8,26.6,5,0.3,1.3,69.2
St. James Parish,Louisiana,0.1,50.6,1.2,0.2,0.4,48
Union Parish,Louisiana,0.1,27.2,4.2,0.3,2.5,69
Clinton County,Iowa,0.6,2.6,2.5,0.2,0.7,94
Crawford County,Iowa,0.6,1.2,24.2,0.3,13.2,82.9
Delaware County,Iowa,0.3,0.3,0.8,0.1,0.1,98.6
Emmet County,Iowa,0.4,0.6,7.4,0.7,3.6,93.1
Floyd County,Iowa,1.3,1.2,2,0.1,0.7,95.8
Hamilton County,Iowa,2,0.3,5,0.2,2.3,93.8
Henry County,Iowa,2.3,2.2,3.8,0.3,1.4,92.1
Iowa County,Iowa,0.3,0.3,1.9,0.2,0.5,97.8
Jones County,Iowa,0.4,2,1.3,0.2,0.3,96.4
Linn County,Iowa,1.8,4,2.6,0.3,0.7,90.8
Madison County,Iowa,0.3,0.3,1.3,0.2,0.2,98.1
Marion County,Iowa,1.1,0.7,1.6,0.2,0.3,96.7
Montgomery County,Iowa,0.2,0.2,2.8,0.4,0.8,97.4
O'Brien County,Iowa,0.6,0.5,3.8,0.1,2,96
Pocahontas County,Iowa,0.2,0.4,2.3,0.2,0.6,97.5
Sac County,Iowa,0.2,0.3,1.9,0.1,0.8,97.8
Story County,Iowa,6,2.5,3,0.2,1,88.6
Union County,Iowa,0.5,0.7,1.8,0.3,0.6,96.9
Warren County,Iowa,0.5,0.5,1.9,0.2,0.4,97.1
Worth County,Iowa,0.3,0.4,1.9,0.2,0.4,97.9
Atchison County,Kansas,0.4,5,2.3,0.5,0.5,91
Butler County,Kansas,0.7,1.7,3.9,1,0.9,93.5
Hillsdale County,Michigan,0.4,0.5,1.8,0.4,0.4,97
Ionia County,Michigan,0.4,4.7,4.4,0.5,1.3,91.6
Isabella County,Michigan,1.6,2.4,3.1,3.4,0.6,89.2
Kalamazoo County,Michigan,2.1,10.9,4,0.4,1.5,81.7
Kent County,Michigan,2.3,9.7,9.7,0.5,4.5,79.9
Livingston County,Michigan,0.8,0.4,1.9,0.4,0.4,96.7
Mackinac County,Michigan,0.2,0.5,1.1,17.3,0.2,76.5
Marquette County,Michigan,0.6,1.7,1.1,1.7,0.2,93.8
Midland County,Michigan,1.9,1.2,2,0.4,0.4,94.5
Missaukee County,Michigan,0.3,0.3,2.1,0.6,0.5,97.1
Newaygo County,Michigan,0.4,1,5.5,0.8,1.9,94.1
Osceola County,Michigan,0.2,0.6,1.5,0.5,0.2,96.9
Roscommon County,Michigan,0.3,0.4,1.1,0.6,0.2,97.3
Shiawassee County,Michigan,0.4,0.5,2.4,0.5,0.5,96.7
Washtenaw County,Michigan,7.9,12.7,4,0.3,1.2,74.5
Wexford County,Michigan,0.6,0.4,1.6,0.6,0.3,96.5
Benton County,Minnesota,1.1,1.9,1.6,0.4,0.4,94.5
Cottonwood County,Minnesota,2.7,0.7,6.2,0.2,2.7,92.2
Dodge County,Minnesota,0.4,0.3,4.6,0.3,1.6,96.1
Douglas County,Minnesota,0.5,0.4,0.9,0.3,0.2,97.7
Grant County,Minnesota,0.2,0.3,1.6,0.1,0.7,97.4
Hubbard County,Minnesota,0.2,0.2,1.6,2.7,0.5,94.5
Kandiyohi County,Minnesota,0.4,2.3,11.2,0.3,2.9,92.8
Lac qui Parle County,Minnesota,0.4,0.2,1.5,0.2,0.6,97.6
Le Sueur County,Minnesota,0.6,0.3,5.2,0.3,2.2,95.5
Lyon County,Minnesota,2.6,2.3,6,0.4,2.7,90.3
Meeker County,Minnesota,0.3,0.3,3.3,0.2,1.2,97.3
Murray County,Minnesota,0.9,0.3,2.8,0.1,1.2,96.7
Otter Tail County,Minnesota,0.5,0.8,2.6,0.5,0.9,96.1
Pope County,Minnesota,0.4,0.3,0.9,0.2,0.3,97.9
Renville County,Minnesota,0.3,0.3,6.6,0.6,2.3,95.4
Sherburne County,Minnesota,1.3,1.9,2.2,0.5,0.6,94
Steele County,Minnesota,0.8,2.8,6.2,0.2,1.7,93.1
Wadena County,Minnesota,0.3,0.8,1.3,0.5,0.3,96.7
Watonwan County,Minnesota,0.8,0.7,20.9,0.4,10,86.9
Alcorn County,Mississippi,0.3,11.4,2.7,0.2,1.6,85.4
Benton County,Mississippi,0.1,37.3,1.7,0.3,0.8,60.5
Choctaw County,Mississippi,0.1,30.1,0.9,0.2,0.1,68.4
Covington County,Mississippi,0.2,34.9,1.9,0.1,1,63
Greene County,Mississippi,0.1,26,0.9,0.3,0.2,72.5
Itawamba County,Mississippi,0.2,5.9,1.3,0.2,0.6,92.4
Jefferson Davis County,Mississippi,0.1,59.9,0.8,0.3,0.3,38.7
Kemper County,Mississippi,0.1,60.1,0.5,3.7,0.1,35.3
Webster Parish,Louisiana,0.3,33.5,1.6,0.4,0.4,64.2
West Baton Rouge Parish,Louisiana,0.3,37.7,2.3,0.1,0.6,60
Hancock County,Maine,0.8,0.4,1.1,0.4,0.3,96.9
Piscataquis County,Maine,0.7,0.3,1,0.5,0.3,96.9
Washington County,Maine,0.5,0.4,1.4,4.9,0.4,92.1
Calvert County,Maryland,1.4,13.4,2.7,0.4,0.7,81.4
Carroll County,Maryland,1.4,3.2,2.6,0.2,0.7,92.9
Charles County,Maryland,3,41,4.3,0.7,1.3,50.3
Howard County,Maryland,14.4,17.5,5.8,0.3,2,62.2
Kent County,Maryland,0.8,15.1,4.5,0.2,1.9,80.1
St. Mary's County,Maryland,2.5,14.3,3.8,0.4,1,78.6
Somerset County,Maryland,0.7,42.3,3.3,0.3,1.4,53.5
Barnstable County,Massachusetts,1.1,1.9,2.2,0.6,1.5,92.7
Franklin County,Massachusetts,1.3,1.1,3.2,0.3,1,94.2
Antrim County,Michigan,0.2,0.2,1.7,1,0.4,96.8
Branch County,Michigan,0.5,3.1,4,0.4,1.6,92.9
Clare County,Michigan,0.3,0.5,1.5,0.7,0.2,96.8
Crawford County,Michigan,0.4,0.4,1.3,0.5,0.1,97.5
Eaton County,Michigan,1.7,6.3,4.7,0.4,1.2,87.8
Gladwin County,Michigan,0.3,0.2,1.2,0.5,0.3,97.7
Iron County,Missouri,0.1,1.3,1.3,0.5,0.2,96.4
Jasper County,Missouri,1,1.9,6.8,1.5,3.9,88.2
Knox County,Missouri,0.2,0.3,0.8,0.2,0.3,98
Linn County,Missouri,0.2,0.7,1.5,0.2,0.4,97.2
Madison County,Missouri,0.3,0.3,2,0.4,1,97.1
Marion County,Missouri,0.5,4.9,1.4,0.2,0.4,91.8
Moniteau County,Missouri,0.4,3.7,3.8,0.3,1.9,92.4
Morgan County,Missouri,0.4,0.6,1.8,0.7,0.4,96.1
Perry County,Missouri,0.4,0.4,1.7,0.3,0.7,97.2
Pulaski County,Missouri,2.6,11.4,9,0.8,2.3,77.5
St. Clair County,Missouri,0.1,0.5,1.7,0.7,0.3,96.5
Saline County,Missouri,0.5,5.3,8.2,0.3,4.6,86.2
Sullivan County,Missouri,0.1,0.5,18.6,0.7,8.7,88.7
Washington County,Missouri,0.2,2.2,1,0.4,0.1,95.8
Webster County,Missouri,0.2,0.9,1.7,0.7,0.4,96.3
Cascade County,Montana,0.8,1.2,3.3,4.3,0.6,89.2
Golden Valley County,Montana,0.7,0,3.5,1,2.1,94
Lake County,Montana,0.4,0.3,3.5,22,0.5,69.4
Madison County,Montana,0.3,0.2,2.4,0.5,0.8,96.8
Pondera County,Montana,0.2,0.1,1.4,14.5,0.2,82.7
Silver Bow County,Montana,0.5,0.3,3.7,1.9,0.7,94.4
Treasure County,Montana,0.4,0,3.5,0.8,1.9,93.9
Wheatland County,Montana,0.6,0.3,1.5,0.5,0.4,95.8
Adams County,Nebraska,1.4,0.8,8.1,0.4,4.1,91.9
Blaine County,Nebraska,0,0.2,0,0,0,99.2
Butler County,Nebraska,0.3,0.3,2.3,0.1,1,97.6
Clay County,Nebraska,0.2,0.3,7.7,0.5,4.6,93
Colfax County,Nebraska,0.3,0.8,41,1.1,23.1,72.6
Dawson County,Nebraska,0.6,3.1,31.8,0.8,15.2,78
Fillmore County,Nebraska,0.2,0.6,3,0.5,1.1,96.8
Frontier County,Nebraska,0.1,0,1.3,0.3,0.4,98.4
Grant County,Nebraska,0.2,0,1.1,0.2,0.5,98.4
Hall County,Nebraska,1,1.7,23.3,0.9,11.4,82.6
Johnson County,Nebraska,1.4,5.3,8.3,1.1,4.6,87.1
Kearney County,Nebraska,0.2,0.2,3.8,0.2,1.3,96.8
Logan County,Nebraska,0.1,0.1,1.7,0.9,0.1,98.4
McPherson County,Nebraska,0,0.4,0.4,0,0,98.1
Nance County,Nebraska,0.1,0.2,1.7,0.3,0.5,98
Pawnee County,Nebraska,0.3,0.3,1.3,0.1,0.4,97.7
Pierce County,Nebraska,0.2,0.2,1.3,0.2,0.5,98.4
Polk County,Nebraska,0.1,0.1,2.9,0.2,0.6,97.9
Saline County,Nebraska,1.6,0.9,20.2,0.4,12.5,83
Sherman County,Nebraska,0.3,0.1,1,0.1,0.1,99
Stanton County,Nebraska,0.1,0.7,4.6,0.4,2.8,94.9
Valley County,Nebraska,0.3,0.1,1.9,0.1,1.2,97.5
Wheeler County,Nebraska,0.5,0,0.7,0.1,0.2,98.3
Eureka County,Nevada,0.9,0.1,12,2.4,5.1,89.3
Pershing County,Nevada,1.3,3.7,22.3,3.2,6.7,81.9
White Pine County,Nevada,1,3.9,13.2,4.2,2.8,85.5
Camden County,New Jersey,5.1,19.6,14.2,0.3,7.1,65.3
Gloucester County,New Jersey,2.6,10.1,4.8,0.2,1.4,83.6
Passaic County,New Jersey,5,12.8,37,0.7,15.1,62.6
Bernalillo County,New Mexico,2.3,3,47.9,4.8,16,69.4
Lauderdale County,Mississippi,0.7,42.8,1.8,0.2,0.6,54.8
Leake County,Mississippi,0.2,40.6,4.3,6,2.8,49.5
Leflore County,Mississippi,0.6,72.2,2.3,0.2,1.5,24.9
Marion County,Mississippi,0.3,32.3,1.2,0.2,0.5,65.8
Neshoba County,Mississippi,0.3,20.9,1.6,16.2,0.5,60.6
Perry County,Mississippi,0.2,20,1,0.3,0.3,78.2
Quitman County,Mississippi,0.1,69.6,0.7,0.2,0.3,29
Stone County,Mississippi,0.3,19.1,1.3,0.5,0.3,78.6
Tate County,Mississippi,0.2,30.3,2.2,0.2,1.2,66.9
Webster County,Mississippi,0.1,19.9,1,0.2,0.4,78.7
Winston County,Mississippi,0.2,45.6,1,1.1,0.2,51.9
Audrain County,Missouri,0.5,6.4,2.6,0.4,1.2,89.8
Bollinger County,Missouri,0.2,0.3,0.8,0.6,0.1,97.9
Camden County,Missouri,0.4,0.4,2.3,0.5,0.8,96.5
Carter County,Missouri,0.1,0.1,1.7,1.1,0.4,96.6
Christian County,Missouri,0.5,0.6,2.5,0.6,0.7,95.7
Crawford County,Missouri,0.3,0.3,1.5,0.5,0.5,97.3
Dent County,Missouri,0.3,0.4,0.9,0.9,0.2,96.6
Howard County,Missouri,0.3,5.2,1.2,0.5,0.3,91.8
Alamance County,North Carolina,1.2,18.8,11,0.7,6.1,71.1
Alleghany County,North Carolina,0.5,1.3,9,0.2,4.6,92.2
Bladen County,North Carolina,0.2,34.9,7.1,2.1,5,56.3
Buncombe County,North Carolina,1,6.4,6,0.4,2.6,87.4
Caldwell County,North Carolina,0.5,4.9,4.6,0.3,2.5,90.2
Clay County,North Carolina,0.2,0.6,2.4,0.3,0.8,96.6
Dare County,North Carolina,0.6,2.5,6.5,0.4,2.4,92.3
Davidson County,North Carolina,1.2,8.9,6.4,0.5,3.6,84.3
Forsyth County,North Carolina,1.9,26,11.9,0.4,7.2,62.3
Guilford County,North Carolina,3.9,32.5,7.1,0.5,3.6,57
Hertford County,North Carolina,0.5,60.5,2.6,1.1,1,35.6
Jones County,North Carolina,0.3,32.4,3.9,0.6,1.9,63
Martin County,North Carolina,0.3,43.5,3.1,0.3,1.8,53.1
Nash County,North Carolina,0.8,37.2,6.3,0.7,3.8,55.9
Pender County,North Carolina,0.4,17.8,6.1,0.6,3.3,76.1
Randolph County,North Carolina,1,5.8,10.4,0.7,5.3,85.5
Scotland County,North Carolina,0.8,38.6,2.1,10.9,1.1,46.5
Vance County,North Carolina,0.4,49.9,6.7,0.3,3.9,44.2
Wake County,North Carolina,5.4,20.7,9.8,0.5,4.5,66.3
