County,State,Asian,Black,Hisp. Or Lat.,Native American,Other,White
Darlington County,South Carolina,0.3,41.6,1.7,0.3,0.9,55.9
Edgefield County,South Carolina,0.4,37.2,5.2,0.2,2.2,58.6
Jasper County,South Carolina,0.7,46,15.1,0.5,8.3,43
Kershaw County,South Carolina,0.5,24.6,3.7,0.3,1.7,71.3
Lancaster County,South Carolina,0.6,23.8,4.4,0.3,2.4,71.5
Lexington County,South Carolina,1.4,14.3,5.5,0.4,2.7,79.3
Marlboro County,South Carolina,0.3,50.9,2.8,4.5,1.1,41.4
Orangeburg County,South Carolina,0.8,62.2,1.9,0.5,0.9,34.3
Washington County,Pennsylvania,0.6,3.3,1.1,0.1,0.3,94.1
Saluda County,South Carolina,0.2,26.3,14.4,0.4,10.3,61.1
Sumter County,South Carolina,1.1,46.9,3.3,0.4,1.4,48.2
Williamsburg County,South Carolina,0.4,65.8,2,0.3,1,31.8
Bennett County,South Dakota,0.4,0.1,2,61.5,0.2,33.7
Brookings County,South Dakota,2.7,0.8,2,0.9,0.9,93.2
Butte County,South Dakota,0.2,0.2,3,1.9,0.8,94.2
Clark County,South Dakota,0.1,0.2,1.7,0.1,0.8,98.1
Clay County,South Dakota,1.7,1.3,2,3.1,0.5,91.1
Custer County,South Dakota,0.4,0.2,2.2,2.9,0.4,94.2
Day County,South Dakota,0.2,0.1,1.1,9.5,0.4,88.1
Douglas County,South Dakota,0.1,0.4,0.8,1.8,0.3,96.6
Fall River County,South Dakota,0.4,0.7,2.2,7.1,0.3,88.6
Haakon County,South Dakota,0.4,0.2,0.9,1.9,0.2,94.7
Hanson County,South Dakota,0.3,0,0.5,0.3,0.2,98.6
Calhoun County,South Carolina,0.2,42.6,3,0.3,1.8,53.9
Hutchinson County,South Dakota,0.2,0.4,1.6,0.7,0.5,97.4
Hyde County,South Dakota,0.2,0.1,1.1,8.5,0.2,89.1
Jerauld County,South Dakota,0.2,0,4.1,0.2,1.6,97
Jones County,South Dakota,0,0.1,1.3,2,0,95.6
Lyman County,South Dakota,0.3,0.1,1.1,38.2,0.1,58.3
Meade County,South Dakota,0.6,1.3,3,2.3,0.8,92
Mellette County,South Dakota,0.2,0.1,1.5,54.1,0.2,39.7
Moody County,South Dakota,1.1,0.5,1.7,14,0.7,81
Sanborn County,South Dakota,0.2,0,1.2,0.3,0.6,98
Shannon County,South Dakota,0.1,0,2.2,96,0.1,2.9
Stanley County,South Dakota,0.1,0.3,0.7,6.6,0.2,90
Todd County,South Dakota,0.2,0.2,2.4,88.1,0.2,9.6
Union County,South Dakota,0.9,0.7,2.1,0.6,0.7,95.5
Ziebach County,South Dakota,0.1,0.2,3.1,74.9,0.1,21.8
Richland County,South Carolina,2.2,45.9,4.8,0.3,1.9,47.3
Carter County,Tennessee,0.3,1.3,1.5,0.2,0.6,96.4
Cheatham County,Tennessee,0.4,1.4,2.3,0.3,1,95.6
Claiborne County,Tennessee,0.5,0.9,0.8,0.3,0.2,96.9
Coffee County,Tennessee,0.9,3.5,3.8,0.3,1.5,92
Davidson County,Tennessee,3,27.7,9.8,0.3,4.9,61.4
DeKalb County,Tennessee,0.3,1.3,6.6,0.2,4.3,92.7
Fentress County,Tennessee,0.2,0.2,1.1,0.2,0.3,98.1
Gibson County,Tennessee,0.2,18.8,2,0.2,0.9,78.5
Greene County,Tennessee,0.4,2,2.5,0.2,1.2,95
Grundy County,Tennessee,0.2,0.3,0.8,0.5,0.2,97.7
Hardeman County,Tennessee,0.5,41.4,1.4,0.2,0.4,56.4
Haywood County,Tennessee,0.1,50.4,3.8,0.2,2.5,45.9
Henderson County,Tennessee,0.3,7.9,1.9,0.2,0.7,89.2
Houston County,Tennessee,0.3,2.3,1.5,0.3,0.4,95.1
Jackson County,Tennessee,0.1,0.3,1.4,0.5,0.3,97.8
Harding County,South Dakota,0.1,0.1,1.6,1.5,0.7,95.9
Lewis County,Tennessee,0.4,1.6,1.8,0.3,0.3,95.8
Lincoln County,Tennessee,0.4,6.8,2.7,0.5,1.1,89.4
McNairy County,Tennessee,0.2,5.9,1.5,0.2,0.6,91.8
Macon County,Tennessee,0.2,0.4,4.1,0.4,2,96
Maury County,Tennessee,0.6,12.5,4.8,0.3,2.2,82.4
Montgomery County,Tennessee,2.1,19.1,8,0.6,2.4,71
Obion County,Tennessee,0.2,10.6,3.1,0.2,1.9,85.9
Pickett County,Tennessee,0.1,0.1,1.3,0.2,0.6,98.3
Rhea County,Tennessee,0.4,1.9,3.7,0.4,2.2,93.4
Rutherford County,Tennessee,3,12.5,6.7,0.4,3.4,78.2
Sevier County,Tennessee,0.9,0.8,5.3,0.4,2.9,93.7
Stewart County,Tennessee,1,1.4,1.9,0.6,0.6,94.6
Carroll County,Tennessee,0.2,10.1,2.1,0.4,0.9,86.8
Unicoi County,Tennessee,0.2,0.2,3.8,0.2,2.4,95.8
Van Buren County,Tennessee,0.1,0.4,0.9,0.3,0.2,98.1
Warren County,Tennessee,0.5,2.9,8.1,0.3,5.2,89.5
Jefferson County,Oklahoma,0.3,0.6,8.5,6.2,3.8,84.4
Latimer County,Oklahoma,0.3,0.7,2.6,20.4,0.6,70.2
Logan County,Oklahoma,0.5,9.1,5.2,3.3,2,81
Love County,Oklahoma,0.5,1.8,11.8,6.2,7.8,78.8
McIntosh County,Oklahoma,0.3,3.2,1.9,18.5,0.4,70.3
Marshall County,Oklahoma,0.2,1.5,14,9.7,8.8,73.8
Muskogee County,Oklahoma,0.6,11.3,5.2,17.5,2.6,59.8
Okfuskee County,Oklahoma,0.2,8.3,2.9,19.7,0.8,64.4
Pawnee County,Oklahoma,0.3,0.7,2,11.6,0.6,80.6
Lake County,Tennessee,0.1,27.7,1.7,0.3,0.5,70.1
Pittsburg County,Oklahoma,0.4,3.3,3.9,13.8,1.3,73.6
Pottawatomie County,Oklahoma,0.6,2.9,4.1,12.9,1,76.3
Roger Mills County,Oklahoma,0.3,0.4,4.5,5.8,1.3,89.8
Sequoyah County,Oklahoma,0.5,1.7,3.4,20.8,1.1,66.5
Tulsa County,Oklahoma,2.3,10.7,11,6,5.8,69.2
Wagoner County,Oklahoma,1.4,3.7,4.8,10,1.8,75.7
Washita County,Oklahoma,0.2,0.7,8.1,3,3.6,88.3
Benton County,Oregon,5.2,0.9,6.4,0.7,2.3,87.1
Clackamas County,Oregon,3.7,0.8,7.7,0.8,3.1,88.2
Coos County,Oregon,1,0.4,5.4,2.5,1.7,89.8
Crook County,Oregon,0.5,0.2,7,1.4,3.2,92.7
Tipton County,Tennessee,0.6,18.7,2.1,0.4,0.8,77.8
Refugio County,Texas,0.4,6.5,47.2,0.6,10,80.5
Robertson County,Texas,0.6,21.6,18,0.6,7.6,67.7
Rusk County,Texas,0.4,17.7,14.3,0.5,7.1,72.2
San Jacinto County,Texas,0.5,10.3,10.9,0.6,4.4,82.2
Scurry County,Texas,0.3,4.7,36.3,0.6,13.3,78.7
Shackelford County,Texas,0.3,0.9,10.1,0.6,3.3,93.1
Shelby County,Texas,0.3,17.4,16.4,0.3,11.9,68.6
Smith County,Texas,1.2,17.9,17.2,0.5,8.1,70.1
Sterling County,Texas,0,1.2,31.9,2,6.2,88.6
Sutton County,Texas,0.2,0.4,59.6,0.4,8.7,88.7
Swisher County,Texas,0.1,7.2,40.1,0.9,14.6,75.1
Throckmorton County,Texas,0.4,0.7,9.3,0.7,2.6,94.8
Tom Green County,Texas,1,4,35.7,0.8,9.5,81.7
Travis County,Texas,5.8,8.5,33.5,0.8,12.2,69.3
Upton County,Texas,0,1.9,49,1.7,19.3,75
Van Zandt County,Texas,0.3,2.7,9.2,0.9,3.3,90.9
Payne County,Oklahoma,3.5,3.6,3.9,4.7,1.1,81.9
Gilliam County,Oregon,0.2,0.2,4.7,1,1.4,95.2
Harney County,Oregon,0.5,0.3,4,3.1,1.3,91.9
Hood River County,Oregon,1.4,0.5,29.5,0.8,10.9,83.1
Josephine County,Oregon,0.8,0.4,6.3,1.4,1.5,92.4
Lincoln County,Oregon,1.1,0.4,7.9,3.5,3.4,87.7
Malheur County,Oregon,1.7,1.2,31.5,1.2,15.5,77.5
Sherman County,Oregon,0.2,0.2,5.6,1.6,2.7,93.4
Umatilla County,Oregon,0.9,0.8,23.9,3.5,12.5,79.1
Douglas County,Oregon,1,0.3,4.7,1.8,1.2,92.4
Jeff Davis County,Texas,0.3,1,33.7,0.6,5.8,90.2
Jim Wells County,Texas,0.4,0.6,79,0.7,9.5,87.2
Jones County,Texas,0.4,11.6,24.8,0.6,14.5,71.2
Kaufman County,Texas,0.9,10.4,17,0.7,6.6,79.1
Kimble County,Texas,0.4,0.4,23.4,0.8,5.9,91.5
Kinney County,Texas,0.3,1.5,55.7,0.7,6.9,88.6
Kleberg County,Texas,2.3,3.7,70.2,0.6,10.9,79.9
Lampasas County,Texas,1,3.2,17.5,0.9,6.2,85.3
Lavaca County,Texas,0.3,6.8,16,0.3,4.9,86
Lee County,Texas,0.3,10.9,22.4,0.6,7.2,78.9
Limestone County,Texas,0.4,17.5,19.1,0.5,10.5,69
Victoria County,Texas,1,6.4,43.9,0.6,10.1,79.5
Waller County,Texas,0.5,24.9,29,0.8,13.2,58.5
Washington County,Texas,1.3,17.6,13.8,0.3,5,74.2
Wheeler County,Texas,0.4,2.1,24.8,0.8,11.8,82.6
Wichita County,Texas,2,10.5,16.6,1.1,6.4,77.1
Willacy County,Texas,0.6,2.1,87.2,0.3,9.3,85.8
Wood County,Texas,0.4,4.7,8.5,0.7,4.1,88.7
Zapata County,Texas,0.2,0.1,93.3,0.3,5.2,93.6
Carbon County,Utah,0.6,0.4,12.4,1.2,3,92.3
Daggett County,Utah,0.4,0.4,3.1,0.8,1.4,95.9
Duchesne County,Utah,0.3,0.2,6,4.5,2.6,89.2
Grand County,Utah,0.8,0.3,9.6,4.1,3.7,89
Juab County,Utah,0.2,0.2,3.7,0.9,1.1,95.9
Anderson County,Texas,0.5,21.1,15.9,0.4,10.2,66.1
Wasco County,Oregon,0.8,0.4,14.8,4.4,5.2,86.1
Washington County,Oregon,8.6,1.8,15.7,0.7,7.5,76.6
Adams County,Pennsylvania,0.7,1.5,6,0.2,2.5,93.7
Beaver County,Pennsylvania,0.4,6.3,1.2,0.1,0.2,91.2
Hale County,Texas,0.4,5.3,55.9,1,19.6,70.8
Hamilton County,Texas,0.4,0.5,10.1,0.8,4.3,92.9
Hardin County,Texas,0.5,5.8,4.4,0.4,1.3,90.6
Harrison County,Texas,0.5,21.9,11.1,0.7,6.5,68.6
Hemphill County,Texas,0.5,0.2,28.5,0.4,10.1,86.9
Henderson County,Texas,0.4,6.2,10.8,0.6,5.1,85.8
Hidalgo County,Texas,1,0.6,90.6,0.3,8.8,88
Hopkins County,Texas,0.5,7.1,15.3,0.6,8.3,81.5
Irion County,Texas,0.2,0.7,25.5,0.4,5,91.6
Jack County,Texas,0.3,3.8,14.2,0.7,6.6,87.5
Jackson County,Texas,0.4,7,29,0.4,8.8,81.3
Loving County,Texas,0,0,22,4.9,8.5,79.3
Lynn County,Texas,0.1,2.1,46.4,1.2,13.9,80.3
McCulloch County,Texas,0.4,1.9,29.9,0.7,11.4,83.9
McMullen County,Texas,0.4,1.1,36.9,0,5,90.9
Marion County,Texas,0.5,22,3.1,0.8,1,73.5
Maverick County,Texas,0.3,0.2,95.7,1.2,5.8,91.4
Menard County,Texas,0.1,0.6,35.2,0.8,14.5,82.4
Milam County,Texas,0.4,10,23.3,0.7,9,78.1
Mills County,Texas,0.2,0.5,16.6,0.4,7.4,90
Moore County,Texas,6.1,1.5,52.7,1.3,16.4,72.5
Motley County,Texas,0,2,13.5,0.8,4,92.1
Nacogdoches County,Texas,1.2,18.2,17.6,0.6,9.4,68.6
Orange County,Texas,1,8.5,5.8,0.5,2.1,86.1
Panola County,Texas,0.3,16.3,8.3,0.4,4.5,76.8
Potter County,Texas,4,10.2,35.3,0.8,12.1,69.8
Presidio County,Texas,1,0.6,83.4,0.7,9.9,85.9
Real County,Texas,0.1,0.7,24.6,1.1,5.3,90.5
DeKalb County,Indiana,0.5,0.4,2.4,0.2,0.8,96.9
Elkhart County,Indiana,1,5.7,14.1,0.4,7.5,82.9
Fayette County,Indiana,0.3,1.3,0.9,0.1,0.3,96.9
Greene County,Indiana,0.3,0.1,1,0.3,0.3,98.1
Henry County,Indiana,0.3,2.2,1.4,0.1,0.4,95.7
Huntington County,Indiana,0.4,0.4,1.7,0.4,0.5,97.1
Jay County,Indiana,0.4,0.3,2.7,0.1,1.3,97
Johnson County,Indiana,2,1.1,3.1,0.2,1.2,93.9
LaGrange County,Indiana,0.3,0.3,3.5,0.2,1.7,96.6
Lawrence County,Indiana,0.5,0.4,1.2,0.3,0.3,97.3
Marion County,Indiana,2,26.7,9.3,0.3,5.4,62.7
Marshall County,Indiana,0.5,0.5,8.4,0.2,3.8,93.5
Montgomery County,Indiana,0.6,0.9,4.6,0.3,1.8,95.2
Newton County,Indiana,0.3,0.4,5,0.3,1.8,96.2
Owen County,Indiana,0.3,0.3,0.9,0.3,0.2,97.9
Pike County,Indiana,0.2,0.3,0.9,0.2,0.3,98.2
Porter County,Indiana,1.2,3,8.5,0.3,2.3,91.3
Monroe County,Kentucky,0.1,2.1,2.6,0.1,1.4,95.1
Morgan County,Kentucky,0.3,4.3,0.8,0.2,0.1,94.3
Muhlenberg County,Kentucky,0.1,4.5,1.2,0.1,0.4,93.7
Pendleton County,Kentucky,0.1,0.4,1,0.2,0.2,98.2
Perry County,Kentucky,0.5,1.5,0.6,0.1,0.3,96.5
Robertson County,Kentucky,0.1,0.2,1,0.1,0.4,98.2
Rowan County,Kentucky,0.8,1.5,1.3,0.1,0.4,96.1
Shelby County,Kentucky,0.6,7.5,9.1,0.3,3.9,85.4
Taylor County,Kentucky,0.5,5,1.8,0.1,0.8,92
Todd County,Kentucky,0.1,8,4,0.2,1.3,89
Washington County,Kentucky,0.3,6.3,3.4,0.1,1.1,90.8
Wayne County,Kentucky,0.3,1.5,2.9,0.2,1.6,95.2
Whitley County,Kentucky,0.4,0.6,0.9,0.3,0.2,97.4
Woodford County,Kentucky,0.5,4.9,6.7,0.2,2.9,89.7
Ascension Parish,Louisiana,0.9,22.2,4.7,0.3,1.9,73.3
Beauregard Parish,Louisiana,0.6,13.1,2.8,1,0.6,82.2
Calcasieu Parish,Louisiana,1.1,24.8,2.6,0.5,0.9,70.8
Chisago County,Minnesota,0.9,1.2,1.5,0.6,0.3,95.8
Clearwater County,Minnesota,0.2,0.3,1.4,9,0.2,87.2
Crow Wing County,Minnesota,0.4,0.5,1,0.8,0.2,96.6
Dakota County,Minnesota,4.4,4.7,6,0.4,2.4,85.2
Faribault County,Minnesota,0.3,0.3,5.6,0.4,1.5,96.5
Fillmore County,Minnesota,0.3,0.2,1,0.1,0.3,98.2
Hennepin County,Minnesota,6.2,11.8,6.7,0.9,3.4,74.4
Isanti County,Minnesota,0.8,0.6,1.5,0.5,0.4,96
Itasca County,Minnesota,0.3,0.3,0.9,3.5,0.2,93.6
Lake of the Woods County,Minnesota,0.8,0.3,0.9,0.7,0.3,95.8
Lincoln County,Minnesota,0.2,0.1,1.2,0.2,0.7,98
McLeod County,Minnesota,0.7,0.5,4.9,0.3,1.5,95.9
Martin County,Minnesota,0.5,0.3,3.6,0.3,1.3,96.7
Cass County,Michigan,0.6,5.4,3,1,1.1,88.9
Charlevoix County,Michigan,0.4,0.3,1.4,1.5,0.4,95.6
Chippewa County,Michigan,0.6,6.5,1.2,15.8,0.2,72.3
Delta County,Michigan,0.4,0.2,0.9,2.4,0.2,94.7
Dickinson County,Michigan,0.5,0.3,1,0.6,0.2,97.2
Emmet County,Michigan,0.5,0.5,1.3,3.7,0.2,92.9
Posey County,Indiana,0.3,0.9,1,0.2,0.4,97.2
Randolph County,Indiana,0.2,0.4,3,0.3,1.8,96.1
Shelby County,Indiana,0.5,1,3.7,0.2,1.6,95.4
Steuben County,Indiana,0.5,0.5,2.9,0.3,0.9,96.8
Switzerland County,Indiana,0.2,0.3,1.4,0.2,0.7,97.8
Union County,Indiana,0.3,0.4,1.1,0.3,0.3,97.5
Vermillion County,Indiana,0.2,0.1,0.8,0.2,0.3,98.3
Warren County,Indiana,0.4,0.1,0.8,0.2,0.2,98.3
White County,Indiana,0.4,0.3,7.1,0.3,3.7,93.9
Adair County,Iowa,0.3,0.1,1.3,0.1,0.4,98.4
Adams County,Iowa,0.6,0.2,0.9,0.5,0.1,98.1
Audubon County,Iowa,0.4,0.2,0.6,0.1,0.1,98.6
Black Hawk County,Iowa,1.3,8.9,3.7,0.2,1.6,85.6
Boone County,Iowa,0.3,0.8,1.9,0.3,0.6,97
Butler County,Iowa,0.2,0.2,0.9,0.1,0.2,98.4
Cedar County,Iowa,0.5,0.3,1.5,0.2,0.2,97.8
Cameron Parish,Louisiana,0.1,1.7,2.3,0.5,0.8,95.7
Catahoula Parish,Louisiana,0,31.5,0.9,0.3,0.3,67.1
De Soto Parish,Louisiana,0.2,39.2,2.5,0.8,0.7,58
East Carroll Parish,Louisiana,0.6,69,1.6,0.2,0.5,28.9
Franklin Parish,Louisiana,0.2,31.5,0.9,0.2,0.3,67.1
Grant Parish,Louisiana,0.3,15.6,4.2,1,0.2,81.4
Jackson Parish,Louisiana,0.2,29.8,1.3,0.2,0.5,68.1
Jefferson Parish,Louisiana,3.9,26.3,12.4,0.5,4.3,62.9
Jefferson Davis Parish,Louisiana,0.2,17.3,1.7,0.5,0.6,79.5
Lincoln Parish,Louisiana,1.7,40.5,2.5,0.3,1.3,55.2
Madison Parish,Louisiana,0.2,61,1.6,0.2,0.4,37.2
Morehouse Parish,Louisiana,0.4,46.9,0.9,0.1,0.3,51.3
Mille Lacs County,Minnesota,0.3,0.4,1.4,6,0.3,91.1
Nicollet County,Minnesota,1.3,2,3.7,0.3,1.2,93.7
Olmsted County,Minnesota,5.4,4.8,4.2,0.2,1.6,85.7
Pennington County,Minnesota,0.6,1.4,2.7,1.5,0.9,93.8
Pipestone County,Minnesota,0.7,0.6,3.7,1,2.3,93.5
Red Lake County,Minnesota,0.1,0.2,2.5,1.3,0.7,96.2
Redwood County,Minnesota,3.2,0.5,2.1,5,0.4,89.1
Rice County,Minnesota,2,3.2,8,0.5,3.1,89.3
Scott County,Minnesota,5.7,2.6,4.4,0.8,2.2,86.4
Sibley County,Minnesota,0.6,0.3,7.2,0.2,3,94.8
Stearns County,Minnesota,2,3.1,2.8,0.3,1.2,91.8
Stevens County,Minnesota,1.5,0.8,3.5,0.9,1.3,93.7
Todd County,Minnesota,0.4,0.4,5.2,0.3,2.1,95.3
Traverse County,Minnesota,0.1,0.4,1.4,3.9,0.3,94.2
Wilkin County,Minnesota,0.3,0.2,2,1,0.4,97
Winona County,Minnesota,2.1,1.3,2.4,0.3,0.8,94.4
Gogebic County,Michigan,0.2,4.1,0.9,2.4,0.2,91.7
Jefferson County,Missouri,0.6,0.8,1.6,0.3,0.4,96.5
Laclede County,Missouri,0.4,0.7,2,0.7,0.5,95.7
Lafayette County,Missouri,0.4,2.2,2.2,0.4,0.7,94.1
Lewis County,Missouri,0.2,3.2,1.6,0.3,0.5,94.4
Lincoln County,Missouri,0.4,1.9,2,0.3,0.6,95
Livingston County,Missouri,0.3,2.4,1.2,0.3,0.4,95.4
McDonald County,Missouri,0.8,0.6,11.2,2.9,6.4,85
Maries County,Missouri,0.1,0.3,0.8,0.6,0.3,97.7
Mercer County,Missouri,0.5,0.2,0.7,0.4,0.2,97.8
Monroe County,Missouri,0.3,3,1,0.3,0.1,95.1
Montgomery County,Missouri,0.3,1.6,1.4,0.2,0.7,95.7
Newton County,Missouri,1.3,0.8,4.4,2.3,2.3,89.3
Cerro Gordo County,Iowa,0.9,1.3,3.8,0.2,0.9,95
Chickasaw County,Iowa,0.3,0.3,2.2,0.1,1.4,97.4
Gwinnett County,Georgia,10.6,23.6,20.1,0.5,8.8,53.3
Habersham County,Georgia,2.2,3.4,12.4,0.5,6.3,85.7
Harris County,Georgia,0.9,17.2,2.7,0.3,0.7,79.3
Henry County,Georgia,2.9,36.9,5.8,0.3,2.4,55
Jasper County,Georgia,0.2,21.8,3.7,0.4,2,73.9
Jenkins County,Georgia,0.4,40.5,4,0.3,2.6,54.9
Lamar County,Georgia,0.4,30.8,1.9,0.3,0.8,66
Lanier County,Georgia,1,23.7,4.6,0.5,1.7,70.6
Lincoln County,Georgia,0.4,32.1,1.2,0.4,0.4,65.7
McDuffie County,Georgia,0.3,39.8,2.2,0.3,0.9,57.2
McIntosh County,Georgia,0.3,35.9,1.6,0.4,0.6,61.5
Madison County,Georgia,0.6,8.4,4.1,0.3,1.9,87.6
Mitchell County,Georgia,0.5,47.7,4.4,0.3,2.4,47.9
Morgan County,Georgia,0.6,23.6,2.8,0.3,1.6,72.7
Ouachita Parish,Louisiana,0.9,36.6,1.8,0.2,0.6,60.4
Plaquemines Parish,Louisiana,3.2,20.5,4.6,1.6,1.4,70.5
Rapides Parish,Louisiana,1.2,32,2.6,0.8,1,63.3
Richland Parish,Louisiana,0.3,36,1.6,0.3,0.4,62.1
Sabine Parish,Louisiana,0.2,16.6,3.4,8.6,0.4,70.8
St. Helena Parish,Louisiana,0.1,53.3,0.9,0.3,0.5,44.9
St. John the Baptist Parish,Louisiana,0.7,53.5,4.7,0.3,1.5,42.5
St. Landry Parish,Louisiana,0.4,41.3,1.6,0.3,0.8,55.9
Sanders County,Montana,0.3,0.1,2,4.4,0.4,91.6
Ottawa County,Kansas,0.1,0.8,2,0.4,0.5,96.7
Yellow Medicine County,Minnesota,0.3,0.2,3.8,3,1.3,93.9
Amite County,Mississippi,0.1,41.3,0.8,0.2,0.2,57.7
Attala County,Mississippi,0.3,42,1.7,0.2,0.7,56.2
Bolivar County,Mississippi,0.6,64.2,1.9,0.1,0.9,33.5
Calhoun County,Mississippi,0.1,27.7,5.4,0.1,3.4,67.5
Claiborne County,Mississippi,0.4,84.4,0.8,0.1,0.3,14.2
Coahoma County,Mississippi,0.5,75.5,1.1,0.1,0.5,22.9
Franklin County,Mississippi,0.1,34.4,0.6,0.2,0.1,64.8
George County,Mississippi,0.2,8.1,2,0.3,0.7,89.8
Grenada County,Mississippi,0.3,41.7,0.9,0.2,0.2,56.9
Holmes County,Mississippi,0.2,83.4,0.7,0.1,0.1,15.6
Humphreys County,Mississippi,0.2,74.5,2.2,0.1,0.9,23.5
Jackson County,Mississippi,2.2,21.5,4.6,0.4,1.9,72.1
Osage County,Missouri,0.1,0.2,0.6,0.2,0.1,98.8
Ozark County,Missouri,0.1,0.1,1.3,0.7,0.3,97.4
Pemiscot County,Missouri,0.2,26.8,1.9,0.3,0.8,70.4
Phelps County,Missouri,2.9,2.2,2,0.6,0.4,91.7
Polk County,Missouri,0.3,0.8,2,0.6,0.5,96.2
Ralls County,Missouri,0.2,1.1,1,0.1,0.2,97.3
Ray County,Missouri,0.3,1.2,1.8,0.5,0.3,96.3
Ripley County,Missouri,0.3,0.3,1,0.9,0.2,96.8
St. Francois County,Missouri,0.4,4.2,1.2,0.4,0.2,93.6
Schuyler County,Missouri,0.2,0,0.7,0.2,0.2,98.6
Scotland County,Missouri,0.2,0.1,0.7,0.2,0.4,98.6
Stoddard County,Missouri,0.2,0.9,1.2,0.4,0.3,97.3
Taney County,Missouri,0.7,0.9,4.8,0.8,1.8,93.6
Warren County,Missouri,0.4,1.9,2.9,0.4,1.1,94.4
Wayne County,Missouri,0.2,0.3,1,0.4,0.3,97.2
Oglethorpe County,Georgia,0.4,17.2,3.7,0.2,1.9,78.3
Paulding County,Georgia,0.9,17.1,5.1,0.3,1.7,77.7
Pierce County,Georgia,0.3,8.9,4.7,0.4,2.1,86.9
Pike County,Georgia,0.3,10.3,1.1,0.3,0.4,87.3
Quitman County,Georgia,0.1,47.9,1.4,0.2,0.1,51.3
Richmond County,Georgia,1.7,54.2,4.1,0.3,1.3,39.7
Screven County,Georgia,0.4,43.3,1.2,0.3,0.3,54.6
Stephens County,Georgia,0.7,10.9,2.4,0.3,1,85.1
Talbot County,Georgia,0.1,59.2,1.3,0.3,0.4,39
Taylor County,Georgia,0.6,39.3,1.8,0.1,0.7,58.5
Thomas County,Georgia,0.7,36.9,2.9,0.4,1.2,59.6
Turner County,Georgia,0.4,41.6,3.2,0.3,2.2,54.7
Twiggs County,Georgia,0.2,41.3,1.4,0.3,0.3,56.8
Union County,Georgia,0.4,0.5,2.4,0.3,0.9,96.8
Ware County,Georgia,0.8,29.5,3.3,0.3,1.5,66.4
Wayne County,Georgia,0.5,19.9,5.7,0.4,2.2,74.9
St. Martin Parish,Louisiana,0.8,30.7,2.1,0.4,0.9,65.8
Tangipahoa Parish,Louisiana,0.6,30.3,3.5,0.3,1.2,66.2
Tensas Parish,Louisiana,0.2,56.5,1.2,0.1,0.5,41.9
Vermilion Parish,Louisiana,2,14.3,2.4,0.4,1,80.9
Vernon Parish,Louisiana,1.8,14.2,7.2,1.4,2.4,75.7
Davis County,Iowa,0.3,0.1,1,0.2,0.2,98.4
Decatur County,Iowa,0.7,1.8,2.1,0.4,0.5,95.4
Dubuque County,Iowa,0.9,2.7,1.9,0.2,0.5,94.1
Fayette County,Iowa,0.5,0.9,1.8,0.1,0.4,97
Franklin County,Iowa,0.3,0.4,11.3,0.2,3.9,93.6
Grundy County,Iowa,0.2,0.2,1,0,0.2,98.5
Guthrie County,Iowa,0.3,0.1,1.8,0.2,0.8,97.6
Howard County,Iowa,0.3,0.3,1.2,0.1,0.4,98.1
Jefferson County,Mississippi,0,85.7,0.4,0.2,0,13.7
Jones County,Mississippi,0.4,28.3,4.7,0.5,2.7,67.2
Lafayette County,Mississippi,2.1,23.7,2.3,0.3,1.1,71.8
West Feliciana Parish,Louisiana,0.2,46.5,1.6,0.1,0.6,52
Franklin County,Maine,0.4,0.2,1,0.4,0.2,97.3
Knox County,Maine,0.5,0.5,0.8,0.4,0.2,97.1
Oxford County,Maine,0.6,0.4,1,0.4,0.3,96.8
St. Louis city,Missouri,2.9,49.2,3.5,0.3,1.3,43.9
Big Horn County,Montana,0.5,0.2,4,64.3,1,31.4
Blaine County,Montana,0.1,0.1,1.8,49.4,0.2,48.2
Carbon County,Montana,0.2,0.3,1.9,0.8,0.4,97.2
Chouteau County,Montana,0.4,0.1,1.6,21.8,0.3,75.8
Custer County,Montana,0.3,0.3,2.2,1.7,0.5,95.5
Deer Lodge County,Montana,0.3,0.4,2.9,3.1,0.5,93.1
Fergus County,Montana,0.2,0.2,1.5,1.2,0.2,96.6
Garfield County,Montana,0.1,0.2,0.2,0.4,0.2,98.6
Granite County,Montana,0.1,0.1,1.4,0.4,0.2,97.5
Jefferson County,Montana,0.4,0.1,2,1.4,0.4,95.5
Muscogee County,Georgia,2.2,45.5,6.4,0.4,2.4,46.3
Crawford County,Kansas,1.2,2,4.5,0.9,1.9,91.2
Edwards County,Kansas,0.4,0.7,17.6,0.7,6.4,90.8
Ellis County,Kansas,1.4,0.9,4.6,0.3,2.1,93.8
Ellsworth County,Kansas,0.4,4.6,5,0.6,0.6,92.2
Geary County,Kansas,3.2,18.4,12.4,1,3.6,66.2
Grant County,Kansas,0.3,0.6,43.9,1.2,14.2,81.3
Greenwood County,Kansas,0.3,0.3,3.3,1,0.6,95.6
Harper County,Kansas,0.1,0.4,4.9,1.1,2.1,94.6
Harvey County,Kansas,0.7,1.6,10.8,0.7,3.2,91.4
Jefferson County,Kansas,0.2,0.5,1.8,0.9,0.3,96.3
Johnson County,Kansas,4.2,4.3,7.2,0.4,2.5,86
Labette County,Kansas,0.4,4.7,4,2.2,0.7,88
Logan County,Kansas,0.4,0.8,2.9,0.5,1.1,96
McPherson County,Kansas,0.5,1,3.5,0.4,1.2,95.1
Marshall County,Kansas,0.2,0.3,1.9,0.3,0.5,97.4
